Time,Part of the Day,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation,City
19:12:00,Evening,20250113,Saturday,41,8,10,6,65,Moderate,Chennai
06:13:00,Morning,20250117,Wednesday,55,14,18,17,104,Heavy,Delhi
02:15:00,Night,20250116,Tuesday,90,42,11,1,144,Clear,Mumbai
02:39:00,Night,20250121,Wednesday,89,29,7,18,143,Heavy,Bangalore
00:41:00,Night,20250106,Thursday,12,35,12,8,67,Heavy,Kolkata
22:06:00,Night,20250115,Friday,51,-2,20,12,81,Moderate,Hyderabad
07:59:00,Morning,20250118,Friday,33,-3,15,7,52,Moderate,Chennai
08:18:00,Morning,20250122,Monday,94,28,16,18,156,Moderate,Delhi
04:59:00,Night,20250127,Friday,56,21,3,11,91,Jam,Mumbai
08:40:00,Morning,20250121,Monday,63,30,14,13,120,Jam,Bangalore
02:04:00,Night,20250123,Thursday,2,33,17,2,54,Moderate,Kolkata
12:43:00,Afternoon,20250105,Wednesday,,10,9,18,37,Jam,Hyderabad
17:20:00,Evening,20250125,Saturday,21,34,13,15,83,Clear,Chennai
04:28:00,Night,20250113,Tuesday,100,19,4,11,134,Jam,Delhi
14:30:00,Afternoon,20250119,Friday,72,43,2,23,140,Clear,Mumbai
16:50:00,Afternoon,20250110,Thursday,92,35,2,8,137,Jam,Bangalore
05:21:00,Morning,20250102,Saturday,55,49,16,14,134,Moderate,Kolkata
03:14:00,Night,20250116,Monday,30,11,19,28,88,Jam,Hyderabad
20:38:00,Evening,20250128,Sunday,98,46,19,9,172,Heavy,Chennai
18:22:00,Evening,20250114,Thursday,52,33,14,4,103,Clear,Delhi
01:47:00,Night,20250114,Wednesday,99,25,10,22,156,Jam,Mumbai
18:51:00,Evening,20250111,Tuesday,38,17,4,20,79,Jam,Bangalore
17:50:00,Evening,20250101,Sunday,91,-6,10,14,109,Moderate,Kolkata
01:04:00,Night,20250112,Thursday,57,38,19,15,129,Clear,Hyderabad
07:59:00,Morning,20250118,Wednesday,4,29,8,6,47,Jam,Chennai
01:43:00,Night,20250110,Friday,63,16,13,17,109,Clear,Delhi
01:35:00,Night,20250127,Sunday,32,34,16,20,102,Heavy,Mumbai
21:07:00,Night,20250126,Monday,51,9,6,14,80,Moderate,Bangalore
19:45:00,Evening,20250131,Friday,73,2,10,28,113,Heavy,Kolkata
13:00:00,Afternoon,20250113,Sunday,72,11,7,17,107,Jam,Hyderabad
12:37:00,Afternoon,20250109,Friday,59,36,11,22,128,Moderate,Chennai
13:06:00,Afternoon,20250104,Thursday,9,5,14,12,40,Heavy,Delhi
01:36:00,Night,20250131,Saturday,56,-7,3,1,53,Moderate,Mumbai
13:59:00,Afternoon,20250127,Monday,94,47,5,16,162,Heavy,Bangalore
13:19:00,Afternoon,20250116,Tuesday,36,16,14,11,77,Clear,Kolkata
22:14:00,Night,20250129,Tuesday,44,39,20,16,119,Heavy,Hyderabad
15:52:00,Afternoon,20250119,Wednesday,22,6,14,20,62,Clear,Chennai
22:19:00,Night,20250124,Wednesday,19,10,9,16,54,Clear,Delhi
09:41:00,Morning,20250114,Wednesday,50,11,15,13,89,Jam,Mumbai
21:28:00,Night,20250110,Saturday,49,2,1,0,52,Moderate,Bangalore
13:50:00,Afternoon,20250108,Tuesday,4,40,11,6,61,Moderate,Kolkata
20:18:00,Evening,20250110,Thursday,47,-9,5,12,55,Moderate,Hyderabad
14:30:00,Afternoon,20250107,Sunday,30,47,7,27,111,Clear,Chennai
15:52:00,Afternoon,20250112,Tuesday,,-7,18,10,21,Clear,Delhi
03:58:00,Night,20250108,Tuesday,46,6,11,16,79,Moderate,Mumbai
10:12:00,Morning,20250119,Monday,21,20,0,5,46,Heavy,Bangalore
20:15:00,Evening,20250121,Monday,59,27,18,10,114,Jam,Kolkata
09:25:00,Morning,20250102,Tuesday,61,42,1,9,113,Jam,Hyderabad
02:36:00,Night,20250109,Wednesday,10,14,1,0,25,Heavy,Chennai
19:42:00,Evening,20250104,Wednesday,19,48,3,7,77,Jam,Delhi
08:22:00,Morning,20250112,Tuesday,39,32,2,5,78,Jam,Mumbai
19:25:00,Evening,20250123,Tuesday,6,21,12,30,69,Heavy,Bangalore
02:28:00,Night,20250122,Sunday,41,14,13,5,73,Heavy,Kolkata
08:15:00,Morning,20250123,Thursday,10,48,12,25,95,Clear,Hyderabad
15:59:00,Afternoon,20250107,Wednesday,78,34,18,6,136,Heavy,Chennai
18:15:00,Evening,20250123,Monday,9,49,20,10,88,Jam,Delhi
09:10:00,Morning,20250120,Thursday,52,42,8,24,126,Heavy,Mumbai
04:23:00,Night,20250103,Wednesday,86,0,19,10,115,Clear,Bangalore
14:55:00,Afternoon,20250131,Thursday,46,45,7,3,101,Heavy,Kolkata
17:43:00,Evening,20250107,Monday,60,21,12,26,119,Clear,Hyderabad
17:33:00,Evening,20250116,Saturday,94,17,1,10,122,Clear,Chennai
02:54:00,Night,20250101,Wednesday,66,25,7,12,110,Jam,Delhi
14:26:00,Afternoon,20250107,Monday,87,29,17,3,136,Clear,Mumbai
17:43:00,Evening,20250126,Friday,85,43,8,0,136,Moderate,Bangalore
23:57:00,Night,20250114,Sunday,3,39,6,15,63,Heavy,Kolkata
15:03:00,Afternoon,20250127,Tuesday,6,2,3,0,11,Heavy,Hyderabad
16:48:00,Afternoon,20250126,Sunday,8,46,6,6,66,Jam,Chennai
02:15:00,Night,20250123,Friday,58,35,12,26,131,Clear,Delhi
04:08:00,Night,20250125,Sunday,58,-9,10,14,73,Clear,Mumbai
12:09:00,Afternoon,20250103,Wednesday,70,19,16,12,117,Moderate,Bangalore
22:14:00,Night,20250108,Friday,100,46,8,18,172,Moderate,Kolkata
11:15:00,Morning,20250107,Friday,17,36,5,26,84,Moderate,Hyderabad
12:59:00,Afternoon,20250114,Wednesday,,4,14,8,26,Jam,Chennai
05:00:00,Morning,20250119,Saturday,63,44,5,25,137,Moderate,Delhi
10:59:00,Morning,20250124,Sunday,35,-7,8,4,40,Jam,Mumbai
11:26:00,Morning,20250112,Friday,63,21,18,19,121,Jam,Bangalore
07:03:00,Morning,20250124,Thursday,55,4,3,26,88,Heavy,Kolkata
00:02:00,Night,20250119,Saturday,77,37,4,24,142,Jam,Hyderabad
12:37:00,Afternoon,20250131,Wednesday,29,49,16,13,107,Moderate,Chennai
00:40:00,Night,20250102,Friday,83,27,19,25,154,Heavy,Delhi
15:10:00,Afternoon,20250114,Saturday,26,4,10,12,52,Jam,Mumbai
22:50:00,Night,20250107,Saturday,38,38,2,9,87,Clear,Bangalore
20:13:00,Evening,20250124,Tuesday,40,39,5,9,93,Clear,Kolkata
04:22:00,Night,20250117,Friday,84,0,6,3,93,Clear,Hyderabad
05:16:00,Morning,20250109,Friday,68,36,9,25,138,Heavy,Chennai
01:55:00,Night,20250113,Saturday,47,0,4,3,54,Heavy,Delhi
21:43:00,Night,20250113,Wednesday,22,44,1,11,78,Heavy,Mumbai
18:57:00,Evening,20250114,Thursday,32,20,5,2,59,Moderate,Bangalore
03:19:00,Night,20250103,Thursday,44,0,8,5,57,Clear,Kolkata
08:39:00,Morning,20250101,Tuesday,13,46,13,20,92,Heavy,Hyderabad
09:31:00,Morning,20250112,Monday,17,23,20,25,85,Heavy,Chennai
19:19:00,Evening,20250125,Saturday,92,29,17,8,146,Clear,Delhi
00:29:00,Night,20250128,Wednesday,89,48,15,30,182,Clear,Mumbai
09:11:00,Morning,20250111,Friday,3,11,15,1,30,Heavy,Bangalore
01:23:00,Night,20250118,Wednesday,84,39,9,15,147,Jam,Kolkata
11:00:00,Morning,20250117,Tuesday,68,11,7,14,100,Clear,Hyderabad
21:12:00,Night,20250130,Saturday,98,-8,17,9,116,Moderate,Chennai
03:58:00,Night,20250126,Monday,29,22,12,21,84,Clear,Delhi
17:18:00,Evening,20250119,Sunday,21,44,10,5,80,Heavy,Mumbai
13:55:00,Afternoon,20250106,Wednesday,58,24,4,29,115,Clear,Bangalore
17:52:00,Evening,20250107,Monday,24,8,12,30,74,Jam,Kolkata
13:39:00,Afternoon,20250115,Thursday,40,10,0,4,54,Moderate,Hyderabad
02:55:00,Night,20250110,Monday,31,21,4,4,60,Heavy,Chennai
23:51:00,Night,20250110,Saturday,39,4,7,20,70,Moderate,Delhi
17:56:00,Evening,20250107,Wednesday,82,10,13,27,132,Moderate,Mumbai
15:31:00,Afternoon,20250109,Monday,53,0,6,12,71,Jam,Bangalore
12:55:00,Afternoon,20250131,Thursday,48,7,7,13,75,Moderate,Kolkata
06:01:00,Morning,20250116,Saturday,,31,14,15,60,Jam,Hyderabad
06:55:00,Morning,20250129,Friday,58,35,5,1,99,Heavy,Chennai
01:48:00,Night,20250125,Saturday,96,16,20,8,140,Clear,Delhi
11:34:00,Morning,20250104,Friday,37,36,19,29,121,Clear,Mumbai
08:39:00,Morning,20250108,Monday,15,22,12,17,66,Clear,Bangalore
21:29:00,Night,20250117,Sunday,,27,18,0,45,Heavy,Kolkata
12:29:00,Afternoon,20250123,Thursday,47,34,3,0,84,Moderate,Hyderabad
16:25:00,Afternoon,20250106,Saturday,55,39,3,15,112,Jam,Chennai
06:49:00,Morning,20250110,Tuesday,76,18,7,15,116,Clear,Delhi
13:42:00,Afternoon,20250125,Monday,70,39,13,12,134,Clear,Mumbai
01:32:00,Night,20250113,Friday,99,20,14,6,139,Moderate,Bangalore
15:46:00,Afternoon,20250128,Sunday,49,50,7,18,124,Jam,Kolkata
16:07:00,Afternoon,20250115,Thursday,76,11,9,13,109,Clear,Hyderabad
12:15:00,Afternoon,20250131,Friday,97,6,4,12,119,Heavy,Chennai
05:46:00,Morning,20250117,Saturday,69,40,1,18,128,Moderate,Delhi
22:18:00,Night,20250130,Thursday,63,16,18,7,104,Clear,Mumbai
05:47:00,Morning,20250120,Tuesday,30,4,14,11,59,Moderate,Bangalore
22:46:00,Night,20250126,Wednesday,82,3,20,10,115,Heavy,Kolkata
10:41:00,Morning,20250102,Saturday,38,50,9,0,97,Moderate,Hyderabad
10:28:00,Morning,20250124,Wednesday,18,50,6,30,104,Clear,Chennai
01:47:00,Night,20250125,Friday,90,46,2,17,155,Moderate,Delhi
17:25:00,Evening,20250105,Monday,64,26,0,30,120,Jam,Mumbai
15:07:00,Afternoon,20250120,Sunday,86,9,20,1,116,Jam,Bangalore
15:57:00,Afternoon,20250121,Friday,97,31,11,25,164,Jam,Kolkata
15:11:00,Afternoon,20250123,Saturday,32,21,2,18,73,Clear,Hyderabad
22:22:00,Night,20250115,Sunday,83,5,12,10,110,Jam,Chennai
23:35:00,Night,20250115,Monday,96,41,10,15,162,Moderate,Delhi
16:16:00,Afternoon,20250108,Thursday,93,39,1,1,134,Moderate,Mumbai
00:31:00,Night,20250124,Tuesday,10,37,11,1,59,Heavy,Bangalore
23:22:00,Night,20250107,Tuesday,97,16,4,30,147,Moderate,Kolkata
21:28:00,Night,20250101,Thursday,59,23,4,8,94,Heavy,Hyderabad
23:00:00,Night,20250124,Wednesday,35,10,1,16,62,Clear,Chennai
01:50:00,Night,20250127,Saturday,83,-3,2,18,100,Jam,Delhi
06:01:00,Morning,20250111,Wednesday,37,33,5,9,84,Moderate,Mumbai
15:58:00,Afternoon,20250101,Wednesday,36,0,13,8,57,Heavy,Bangalore
