Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
16:44:00,20250105,Tuesday,45.0,25,14,0,84,Clear
20:00:00,20250101,Sunday,87.0,47,5,6,145,Jam
20:06:00,20250103,Wednesday,88.0,47,7,2,144,Heavy
16:41:00,20250125,Sunday,78.0,48,8,26,160,Jam
15:07:00,20250116,Wednesday,85.0,9,14,23,131,Heavy
13:35:00,20250123,Saturday,7.0,37,4,27,75,Clear
06:51:00,20250131,Saturday,47.0,39,11,17,114,Moderate
22:02:00,20250110,Wednesday,94.0,10,14,30,148,Moderate
07:49:00,20250128,Saturday,67.0,19,9,22,117,Jam
23:03:00,20250117,Saturday,32.0,-1,20,19,70,Heavy
13:18:00,20250116,Sunday,5.0,-5,2,27,29,Heavy
07:59:00,20250120,Saturday,28.0,0,1,27,56,Heavy
07:26:00,20250109,Sunday,72.0,23,10,30,135,Jam
05:40:00,20250126,Thursday,89.0,25,8,9,131,Clear
01:28:00,20250112,Wednesday,93.0,28,10,7,138,Heavy
23:34:00,20250107,Saturday,49.0,40,17,9,115,Clear
02:12:00,20250110,Sunday,85.0,40,7,19,151,Jam
17:56:00,20250116,Thursday,89.0,45,20,7,161,Clear
06:46:00,20250105,Saturday,67.0,4,2,7,80,Clear
01:00:00,20250113,Tuesday,53.0,1,5,18,77,Heavy
15:13:00,20250108,Thursday,61.0,-7,7,26,87,Clear
11:30:00,20250120,Friday,67.0,19,8,12,106,Jam
16:53:00,20250120,Thursday,78.0,15,14,18,125,Heavy
10:17:00,20250105,Thursday,25.0,26,8,21,80,Jam
22:02:00,20250131,Thursday,32.0,17,0,29,78,Moderate
01:53:00,20250108,Saturday,18.0,40,9,15,82,Heavy
21:18:00,20250129,Saturday,94.0,25,0,16,135,Heavy
20:23:00,20250116,Sunday,83.0,40,9,22,154,Moderate
02:18:00,20250103,Friday,36.0,13,11,28,88,Jam
00:18:00,20250104,Thursday,23.0,23,14,0,60,Heavy
14:20:00,20250111,Wednesday,71.0,49,0,25,145,Moderate
14:27:00,20250103,Friday,4.0,1,10,4,19,Heavy
18:47:00,20250115,Tuesday,52.0,20,14,7,93,Moderate
06:24:00,20250131,Friday,13.0,41,20,27,101,Jam
04:50:00,20250121,Wednesday,61.0,17,17,22,117,Jam
19:51:00,20250131,Friday,35.0,44,4,30,113,Jam
23:03:00,20250129,Tuesday,42.0,41,15,17,115,Heavy
02:29:00,20250121,Saturday,80.0,14,16,26,136,Clear
21:23:00,20250116,Monday,61.0,29,8,3,101,Heavy
04:28:00,20250101,Thursday,71.0,-7,3,15,82,Moderate
19:30:00,20250125,Monday,65.0,25,20,21,131,Clear
22:16:00,20250116,Saturday,65.0,47,5,12,129,Moderate
15:27:00,20250109,Friday,100.0,42,5,22,169,Moderate
19:12:00,20250109,Thursday,25.0,11,7,26,69,Heavy
10:23:00,20250103,Saturday,52.0,-10,12,18,72,Moderate
19:28:00,20250106,Saturday,68.0,33,4,7,112,Clear
05:07:00,20250125,Tuesday,27.0,15,9,25,76,Jam
12:21:00,20250106,Saturday,68.0,36,20,28,152,Clear
12:24:00,20250115,Tuesday,30.0,10,20,24,84,Clear
12:45:00,20250125,Wednesday,35.0,21,1,23,80,Heavy
17:22:00,20250129,Thursday,36.0,37,5,17,95,Clear
12:49:00,20250124,Friday,58.0,14,2,28,102,Heavy
22:39:00,20250107,Tuesday,35.0,12,16,25,88,Jam
16:53:00,20250119,Sunday,14.0,39,1,16,70,Clear
02:25:00,20250125,Monday,43.0,44,7,30,124,Jam
18:56:00,20250125,Sunday,80.0,35,7,28,150,Heavy
03:38:00,20250130,Monday,60.0,32,9,26,127,Clear
17:04:00,20250119,Wednesday,43.0,14,6,3,66,Heavy
22:26:00,20250108,Friday,,1,12,28,41,Moderate
17:08:00,20250108,Tuesday,40.0,-1,15,1,55,Jam
07:16:00,20250115,Wednesday,22.0,38,15,5,80,Moderate
18:51:00,20250116,Tuesday,7.0,15,1,0,23,Moderate
19:42:00,20250105,Thursday,72.0,46,6,10,134,Jam
20:51:00,20250118,Thursday,34.0,39,13,30,116,Jam
00:12:00,20250126,Saturday,75.0,9,15,12,111,Clear
20:28:00,20250104,Sunday,91.0,41,16,2,150,Moderate
08:17:00,20250120,Sunday,6.0,1,13,12,32,Moderate
03:00:00,20250122,Tuesday,99.0,-9,0,4,94,Jam
14:57:00,20250102,Sunday,48.0,10,15,26,99,Clear
11:21:00,20250122,Saturday,13.0,18,15,14,60,Heavy
13:20:00,20250121,Thursday,77.0,2,5,19,103,Clear
16:14:00,20250117,Saturday,4.0,25,20,23,72,Heavy
21:38:00,20250113,Tuesday,13.0,43,19,30,105,Moderate
20:22:00,20250112,Friday,98.0,50,19,13,180,Clear
23:47:00,20250127,Wednesday,31.0,44,18,7,100,Clear
05:28:00,20250124,Monday,63.0,-3,4,11,75,Heavy
22:09:00,20250125,Thursday,48.0,1,8,8,65,Clear
16:38:00,20250129,Friday,65.0,29,2,2,98,Moderate
04:04:00,20250113,Monday,100.0,47,8,8,163,Moderate
15:16:00,20250122,Friday,45.0,15,0,13,73,Heavy
16:01:00,20250102,Monday,15.0,13,0,17,45,Jam
14:32:00,20250101,Thursday,60.0,11,3,7,81,Clear
15:54:00,20250117,Friday,88.0,27,14,30,159,Heavy
06:30:00,20250126,Monday,48.0,13,13,11,85,Heavy
13:28:00,20250124,Friday,46.0,40,14,29,129,Clear
21:19:00,20250101,Tuesday,45.0,12,12,6,75,Moderate
00:16:00,20250105,Monday,82.0,10,6,30,128,Jam
06:13:00,20250117,Sunday,98.0,23,9,27,157,Clear
15:46:00,20250129,Tuesday,68.0,34,19,16,137,Moderate
06:43:00,20250105,Monday,33.0,-2,17,29,77,Moderate
08:37:00,20250101,Monday,43.0,-5,11,2,51,Moderate
09:54:00,20250109,Sunday,75.0,12,0,30,117,Jam
00:55:00,20250103,Wednesday,38.0,10,1,7,56,Clear
00:04:00,20250115,Tuesday,46.0,37,19,4,106,Heavy
19:19:00,20250126,Friday,,11,6,14,31,Clear
19:48:00,20250123,Sunday,,-9,1,24,16,Moderate
01:10:00,20250131,Sunday,81.0,32,9,30,152,Jam
12:09:00,20250101,Tuesday,63.0,45,1,22,131,Moderate
16:18:00,20250125,Friday,83.0,13,6,18,120,Jam
23:06:00,20250104,Tuesday,64.0,16,19,21,120,Moderate
17:08:00,20250118,Saturday,39.0,1,3,14,57,Jam
10:10:00,20250115,Saturday,57.0,-3,6,22,82,Clear
18:38:00,20250104,Sunday,58.0,37,4,16,115,Moderate
05:14:00,20250117,Saturday,59.0,35,15,30,139,Jam
02:00:00,20250130,Wednesday,15.0,20,10,4,49,Moderate
15:21:00,20250115,Sunday,,47,8,7,62,Clear
02:15:00,20250109,Thursday,98.0,3,4,6,111,Heavy
20:51:00,20250111,Sunday,38.0,44,9,0,91,Jam
11:20:00,20250116,Sunday,39.0,37,15,15,106,Clear
21:01:00,20250101,Wednesday,17.0,-10,20,1,28,Moderate
12:09:00,20250120,Sunday,74.0,4,8,4,90,Heavy
13:43:00,20250105,Wednesday,66.0,14,5,10,95,Moderate
11:04:00,20250128,Tuesday,32.0,22,3,4,61,Heavy
03:03:00,20250107,Friday,42.0,1,13,22,78,Jam
11:22:00,20250131,Sunday,58.0,17,3,26,104,Clear
14:44:00,20250128,Wednesday,5.0,10,12,29,56,Jam
21:09:00,20250106,Monday,92.0,26,2,18,138,Clear
04:05:00,20250106,Monday,26.0,30,5,2,63,Heavy
00:35:00,20250115,Monday,28.0,19,7,22,76,Moderate
18:48:00,20250118,Saturday,47.0,28,14,14,103,Heavy
15:27:00,20250106,Wednesday,49.0,13,1,14,77,Heavy
19:12:00,20250113,Saturday,41.0,8,10,6,65,Moderate
06:13:00,20250117,Wednesday,55.0,14,18,17,104,Heavy
02:15:00,20250116,Tuesday,90.0,42,11,1,144,Clear
02:39:00,20250121,Wednesday,89.0,29,7,18,143,Heavy
00:41:00,20250106,Thursday,12.0,35,12,8,67,Heavy
22:06:00,20250115,Friday,51.0,-2,20,12,81,Moderate
07:59:00,20250118,Friday,33.0,-3,15,7,52,Moderate
08:18:00,20250122,Monday,94.0,28,16,18,156,Moderate
04:59:00,20250127,Friday,56.0,21,3,11,91,Jam
08:40:00,20250121,Monday,63.0,30,14,13,120,Jam
02:04:00,20250123,Thursday,2.0,33,17,2,54,Moderate
12:43:00,20250105,Wednesday,,10,9,18,37,Jam
17:20:00,20250125,Saturday,21.0,34,13,15,83,Clear
04:28:00,20250113,Tuesday,100.0,19,4,11,134,Jam
14:30:00,20250119,Friday,72.0,43,2,23,140,Clear
16:50:00,20250110,Thursday,92.0,35,2,8,137,Jam
05:21:00,20250102,Saturday,55.0,49,16,14,134,Moderate
03:14:00,20250116,Monday,30.0,11,19,28,88,Jam
20:38:00,20250128,Sunday,98.0,46,19,9,172,Heavy
18:22:00,20250114,Thursday,52.0,33,14,4,103,Clear
01:47:00,20250114,Wednesday,99.0,25,10,22,156,Jam
18:51:00,20250111,Tuesday,38.0,17,4,20,79,Jam
17:50:00,20250101,Sunday,91.0,-6,10,14,109,Moderate
01:04:00,20250112,Thursday,57.0,38,19,15,129,Clear
07:59:00,20250118,Wednesday,4.0,29,8,6,47,Jam
01:43:00,20250110,Friday,63.0,16,13,17,109,Clear
01:35:00,20250127,Sunday,32.0,34,16,20,102,Heavy
21:07:00,20250126,Monday,51.0,9,6,14,80,Moderate
19:45:00,20250131,Friday,73.0,2,10,28,113,Heavy
13:00:00,20250113,Sunday,72.0,11,7,17,107,Jam
12:37:00,20250109,Friday,59.0,36,11,22,128,Moderate
13:06:00,20250104,Thursday,9.0,5,14,12,40,Heavy
01:36:00,20250131,Saturday,56.0,-7,3,1,53,Moderate
13:59:00,20250127,Monday,94.0,47,5,16,162,Heavy
13:19:00,20250116,Tuesday,36.0,16,14,11,77,Clear
22:14:00,20250129,Tuesday,44.0,39,20,16,119,Heavy
15:52:00,20250119,Wednesday,22.0,6,14,20,62,Clear
22:19:00,20250124,Wednesday,19.0,10,9,16,54,Clear
09:41:00,20250114,Wednesday,50.0,11,15,13,89,Jam
21:28:00,20250110,Saturday,49.0,2,1,0,52,Moderate
13:50:00,20250108,Tuesday,4.0,40,11,6,61,Moderate
20:18:00,20250110,Thursday,47.0,-9,5,12,55,Moderate
14:30:00,20250107,Sunday,30.0,47,7,27,111,Clear
15:52:00,20250112,Tuesday,,-7,18,10,21,Clear
03:58:00,20250108,Tuesday,46.0,6,11,16,79,Moderate
10:12:00,20250119,Monday,21.0,20,0,5,46,Heavy
20:15:00,20250121,Monday,59.0,27,18,10,114,Jam
09:25:00,20250102,Tuesday,61.0,42,1,9,113,Jam
02:36:00,20250109,Wednesday,10.0,14,1,0,25,Heavy
19:42:00,20250104,Wednesday,19.0,48,3,7,77,Jam
08:22:00,20250112,Tuesday,39.0,32,2,5,78,Jam
19:25:00,20250123,Tuesday,6.0,21,12,30,69,Heavy
02:28:00,20250122,Sunday,41.0,14,13,5,73,Heavy
08:15:00,20250123,Thursday,10.0,48,12,25,95,Clear
15:59:00,20250107,Wednesday,78.0,34,18,6,136,Heavy
18:15:00,20250123,Monday,9.0,49,20,10,88,Jam
09:10:00,20250120,Thursday,52.0,42,8,24,126,Heavy
04:23:00,20250103,Wednesday,86.0,0,19,10,115,Clear
14:55:00,20250131,Thursday,46.0,45,7,3,101,Heavy
17:43:00,20250107,Monday,60.0,21,12,26,119,Clear
17:33:00,20250116,Saturday,94.0,17,1,10,122,Clear
02:54:00,20250101,Wednesday,66.0,25,7,12,110,Jam
14:26:00,20250107,Monday,87.0,29,17,3,136,Clear
17:43:00,20250126,Friday,85.0,43,8,0,136,Moderate
23:57:00,20250114,Sunday,3.0,39,6,15,63,Heavy
15:03:00,20250127,Tuesday,6.0,2,3,0,11,Heavy
16:48:00,20250126,Sunday,8.0,46,6,6,66,Jam
02:15:00,20250123,Friday,58.0,35,12,26,131,Clear
04:08:00,20250125,Sunday,58.0,-9,10,14,73,Clear
12:09:00,20250103,Wednesday,70.0,19,16,12,117,Moderate
22:14:00,20250108,Friday,100.0,46,8,18,172,Moderate
11:15:00,20250107,Friday,17.0,36,5,26,84,Moderate
12:59:00,20250114,Wednesday,,4,14,8,26,Jam
05:00:00,20250119,Saturday,63.0,44,5,25,137,Moderate
10:59:00,20250124,Sunday,35.0,-7,8,4,40,Jam
11:26:00,20250112,Friday,63.0,21,18,19,121,Jam
07:03:00,20250124,Thursday,55.0,4,3,26,88,Heavy
00:02:00,20250119,Saturday,77.0,37,4,24,142,Jam
12:37:00,20250131,Wednesday,29.0,49,16,13,107,Moderate
00:40:00,20250102,Friday,83.0,27,19,25,154,Heavy
15:10:00,20250114,Saturday,26.0,4,10,12,52,Jam
22:50:00,20250107,Saturday,38.0,38,2,9,87,Clear
20:13:00,20250124,Tuesday,40.0,39,5,9,93,Clear
04:22:00,20250117,Friday,84.0,0,6,3,93,Clear
05:16:00,20250109,Friday,68.0,36,9,25,138,Heavy
01:55:00,20250113,Saturday,47.0,0,4,3,54,Heavy
21:43:00,20250113,Wednesday,22.0,44,1,11,78,Heavy
18:57:00,20250114,Thursday,32.0,20,5,2,59,Moderate
03:19:00,20250103,Thursday,44.0,0,8,5,57,Clear
08:39:00,20250101,Tuesday,13.0,46,13,20,92,Heavy
09:31:00,20250112,Monday,17.0,23,20,25,85,Heavy
19:19:00,20250125,Saturday,92.0,29,17,8,146,Clear
00:29:00,20250128,Wednesday,89.0,48,15,30,182,Clear
09:11:00,20250111,Friday,3.0,11,15,1,30,Heavy
01:23:00,20250118,Wednesday,84.0,39,9,15,147,Jam
11:00:00,20250117,Tuesday,68.0,11,7,14,100,Clear
21:12:00,20250130,Saturday,98.0,-8,17,9,116,Moderate
03:58:00,20250126,Monday,29.0,22,12,21,84,Clear
17:18:00,20250119,Sunday,21.0,44,10,5,80,Heavy
13:55:00,20250106,Wednesday,58.0,24,4,29,115,Clear
17:52:00,20250107,Monday,24.0,8,12,30,74,Jam
13:39:00,20250115,Thursday,40.0,10,0,4,54,Moderate
02:55:00,20250110,Monday,31.0,21,4,4,60,Heavy
23:51:00,20250110,Saturday,39.0,4,7,20,70,Moderate
17:56:00,20250107,Wednesday,82.0,10,13,27,132,Moderate
15:31:00,20250109,Monday,53.0,0,6,12,71,Jam
12:55:00,20250131,Thursday,48.0,7,7,13,75,Moderate
06:01:00,20250116,Saturday,,31,14,15,60,Jam
06:55:00,20250129,Friday,58.0,35,5,1,99,Heavy
01:48:00,20250125,Saturday,96.0,16,20,8,140,Clear
11:34:00,20250104,Friday,37.0,36,19,29,121,Clear
08:39:00,20250108,Monday,15.0,22,12,17,66,Clear
21:29:00,20250117,Sunday,,27,18,0,45,Heavy
12:29:00,20250123,Thursday,47.0,34,3,0,84,Moderate
16:25:00,20250106,Saturday,55.0,39,3,15,112,Jam
06:49:00,20250110,Tuesday,76.0,18,7,15,116,Clear
13:42:00,20250125,Monday,70.0,39,13,12,134,Clear
01:32:00,20250113,Friday,99.0,20,14,6,139,Moderate
15:46:00,20250128,Sunday,49.0,50,7,18,124,Jam
16:07:00,20250115,Thursday,76.0,11,9,13,109,Clear
12:15:00,20250131,Friday,97.0,6,4,12,119,Heavy
05:46:00,20250117,Saturday,69.0,40,1,18,128,Moderate
22:18:00,20250130,Thursday,63.0,16,18,7,104,Clear
05:47:00,20250120,Tuesday,30.0,4,14,11,59,Moderate
22:46:00,20250126,Wednesday,82.0,3,20,10,115,Heavy
10:41:00,20250102,Saturday,38.0,50,9,0,97,Moderate
10:28:00,20250124,Wednesday,18.0,50,6,30,104,Clear
01:47:00,20250125,Friday,90.0,46,2,17,155,Moderate
17:25:00,20250105,Monday,64.0,26,0,30,120,Jam
15:07:00,20250120,Sunday,86.0,9,20,1,116,Jam
15:57:00,20250121,Friday,97.0,31,11,25,164,Jam
15:11:00,20250123,Saturday,32.0,21,2,18,73,Clear
22:22:00,20250115,Sunday,83.0,5,12,10,110,Jam
23:35:00,20250115,Monday,96.0,41,10,15,162,Moderate
16:16:00,20250108,Thursday,93.0,39,1,1,134,Moderate
00:31:00,20250124,Tuesday,10.0,37,11,1,59,Heavy
23:22:00,20250107,Tuesday,97.0,16,4,30,147,Moderate
21:28:00,20250101,Thursday,59.0,23,4,8,94,Heavy
23:00:00,20250124,Wednesday,35.0,10,1,16,62,Clear
01:50:00,20250127,Saturday,83.0,-3,2,18,100,Jam
06:01:00,20250111,Wednesday,37.0,33,5,9,84,Moderate
15:58:00,20250101,Wednesday,36.0,0,13,8,57,Heavy
03:31:00,20250115,Monday,2.0,27,7,18,54,Clear
18:04:00,20250122,Thursday,2.0,19,7,26,54,Jam
23:22:00,20250127,Tuesday,83.0,36,2,26,147,Clear
07:35:00,20250104,Sunday,79.0,17,8,28,132,Heavy
03:04:00,20250111,Friday,9.0,33,16,16,74,Clear
02:55:00,20250109,Saturday,81.0,38,7,14,140,Clear
11:17:00,20250114,Tuesday,21.0,38,1,25,85,Clear
22:30:00,20250101,Friday,57.0,22,5,8,92,Jam
09:25:00,20250120,Tuesday,11.0,50,1,2,64,Moderate
13:37:00,20250118,Wednesday,71.0,11,9,21,112,Heavy
16:26:00,20250121,Saturday,13.0,33,7,27,80,Jam
07:28:00,20250125,Monday,76.0,25,2,23,126,Heavy
05:10:00,20250123,Sunday,57.0,44,0,19,120,Moderate
19:28:00,20250101,Tuesday,100.0,27,4,3,134,Moderate
02:17:00,20250131,Thursday,89.0,22,12,6,129,Heavy
14:59:00,20250113,Monday,74.0,25,9,14,122,Clear
07:22:00,20250117,Monday,35.0,38,2,12,87,Heavy
00:50:00,20250116,Friday,74.0,-2,13,21,106,Heavy
21:31:00,20250107,Tuesday,40.0,23,12,20,95,Moderate
21:17:00,20250128,Saturday,35.0,22,16,11,84,Jam
22:43:00,20250118,Thursday,93.0,-8,15,4,104,Heavy
14:11:00,20250125,Monday,51.0,50,6,22,129,Clear
19:24:00,20250116,Saturday,88.0,37,12,2,139,Moderate
00:25:00,20250120,Friday,1.0,29,11,26,67,Moderate
13:19:00,20250120,Saturday,1.0,36,12,5,54,Jam
21:29:00,20250122,Friday,82.0,50,3,22,157,Heavy
16:05:00,20250129,Friday,77.0,-2,6,5,86,Moderate
21:27:00,20250108,Tuesday,66.0,2,9,21,98,Jam
01:11:00,20250110,Tuesday,6.0,34,19,3,62,Clear
04:17:00,20250125,Sunday,,-6,12,15,21,Heavy
16:00:00,20250125,Saturday,43.0,2,6,6,57,Jam
19:39:00,20250126,Friday,97.0,32,14,29,172,Clear
17:15:00,20250118,Sunday,28.0,37,7,30,102,Moderate
09:22:00,20250128,Friday,51.0,49,6,10,116,Heavy
09:42:00,20250119,Thursday,58.0,6,13,25,102,Moderate
00:23:00,20250108,Friday,55.0,15,15,21,106,Clear
00:12:00,20250101,Monday,100.0,27,17,26,170,Heavy
04:23:00,20250120,Sunday,37.0,13,14,28,92,Jam
19:20:00,20250123,Wednesday,53.0,35,15,15,118,Jam
14:54:00,20250118,Friday,91.0,42,16,21,170,Heavy
22:45:00,20250110,Friday,50.0,18,16,13,97,Jam
04:17:00,20250131,Wednesday,31.0,6,17,27,81,Jam
02:12:00,20250114,Sunday,99.0,22,0,22,143,Jam
04:43:00,20250104,Saturday,15.0,16,3,18,52,Moderate
13:15:00,20250106,Thursday,85.0,0,8,3,96,Jam
10:34:00,20250107,Sunday,70.0,17,2,26,115,Moderate
23:13:00,20250121,Wednesday,24.0,49,1,29,103,Jam
05:45:00,20250126,Friday,27.0,15,10,2,54,Jam
09:01:00,20250131,Monday,39.0,23,8,6,76,Clear
15:05:00,20250120,Thursday,31.0,3,8,30,72,Jam
20:17:00,20250104,Thursday,97.0,15,3,23,138,Moderate
12:00:00,20250107,Wednesday,95.0,43,20,2,160,Heavy
03:13:00,20250127,Monday,72.0,8,12,12,104,Moderate
19:57:00,20250126,Tuesday,73.0,29,16,8,126,Heavy
12:23:00,20250108,Saturday,49.0,21,3,24,97,Jam
00:14:00,20250119,Monday,78.0,46,16,25,165,Moderate
17:32:00,20250112,Thursday,77.0,1,3,1,82,Clear
14:13:00,20250125,Saturday,53.0,16,3,7,79,Clear
13:14:00,20250129,Thursday,76.0,4,12,3,95,Jam
20:15:00,20250122,Sunday,91.0,38,16,28,173,Moderate
19:23:00,20250131,Friday,62.0,4,6,14,86,Moderate
08:10:00,20250131,Tuesday,32.0,3,10,23,68,Jam
23:57:00,20250105,Thursday,55.0,27,15,6,103,Heavy
00:42:00,20250119,Wednesday,23.0,32,13,26,94,Moderate
16:34:00,20250126,Sunday,71.0,21,15,1,108,Jam
11:04:00,20250130,Monday,85.0,1,19,23,128,Jam
19:05:00,20250104,Sunday,,47,0,6,53,Moderate
15:05:00,20250128,Tuesday,5.0,40,15,19,79,Heavy
12:52:00,20250101,Tuesday,68.0,39,17,24,148,Moderate
12:00:00,20250117,Monday,35.0,48,9,12,104,Jam
11:47:00,20250112,Thursday,89.0,43,16,30,178,Heavy
15:22:00,20250101,Saturday,19.0,22,14,8,63,Moderate
14:22:00,20250102,Saturday,5.0,26,13,14,58,Jam
22:33:00,20250121,Thursday,8.0,39,19,14,80,Jam
11:08:00,20250105,Tuesday,47.0,23,6,17,93,Moderate
02:55:00,20250107,Sunday,,39,18,19,76,Jam
15:54:00,20250129,Friday,,12,13,18,43,Moderate
23:32:00,20250131,Wednesday,18.0,-8,4,18,32,Jam
05:55:00,20250107,Thursday,56.0,3,9,2,70,Moderate
10:31:00,20250101,Sunday,78.0,29,12,17,136,Moderate
06:54:00,20250103,Thursday,14.0,41,12,18,85,Moderate
22:54:00,20250120,Sunday,76.0,22,20,17,135,Jam
03:05:00,20250102,Monday,48.0,13,8,1,70,Jam
09:25:00,20250114,Thursday,51.0,32,15,15,113,Heavy
04:09:00,20250104,Monday,22.0,28,3,1,54,Jam
06:04:00,20250104,Monday,9.0,27,20,10,66,Moderate
04:09:00,20250114,Sunday,5.0,15,2,17,39,Heavy
18:41:00,20250107,Friday,34.0,17,20,1,72,Heavy
23:37:00,20250101,Tuesday,,49,10,27,86,Moderate
12:50:00,20250122,Sunday,44.0,31,10,11,96,Moderate
13:27:00,20250116,Sunday,30.0,14,15,19,78,Clear
